pool_size,repeat,feasible,selected_count,candidates_evaluated,runtime_s
16,1,True,2,31,0.025909100004355423
16,2,True,2,31,0.027248899998085108
16,3,True,2,31,0.07099300000118092
16,4,True,2,31,0.03889599999820348
16,5,True,2,31,0.07726139999431325
16,6,True,2,31,0.028144800002337433
16,7,True,2,31,0.025784800003748387
16,8,True,2,31,0.06705179999698885
16,9,True,2,31,0.04453300000022864
16,10,True,2,31,0.0731718999959412
16,11,True,2,31,0.026194899997790344
16,12,True,2,31,0.02873130000079982
16,13,True,2,31,0.07954899999458576
16,14,True,2,31,0.03335230000084266
16,15,True,2,31,0.06613469999865629
16,16,True,2,31,0.025761400000192225
16,17,True,2,31,0.025471000000834465
16,18,True,2,31,0.06939019999845186
16,19,True,2,31,0.04006550000485731
16,20,True,2,31,0.06905689999985043
32,1,True,2,63,0.05100759999913862
32,2,True,2,63,0.11280129999795463
32,3,True,2,63,0.11826909999945201
32,4,True,2,63,0.059302900001057424
32,5,True,2,63,0.10269160000461852
32,6,True,2,63,0.08218009999836795
32,7,True,2,63,0.0939927999934298
32,8,True,2,63,0.10801379999611527
32,9,True,2,63,0.046788899999228306
32,10,True,2,63,0.10406040000088979
32,11,True,2,63,0.1113203999993857
32,12,True,2,63,0.0594314000045415
32,13,True,2,63,0.1015421999982209
32,14,True,2,63,0.08787100000336068
32,15,True,2,63,0.1044465000013588
32,16,True,2,63,0.09629290000157198
32,17,True,2,63,0.04792949999682605
32,18,True,2,63,0.10607009999512229
32,19,True,2,63,0.09714459999668179
32,20,True,2,63,0.06597860000329092
64,1,True,2,127,0.16819180000311462
64,2,True,2,127,0.16824250000354368
64,3,True,2,127,0.15915030000178376
64,4,True,2,127,0.15741630000411533
64,5,True,2,127,0.2075500999999349
64,6,True,2,127,0.15792460000375286
64,7,True,2,127,0.1672141000017291
64,8,True,2,127,0.14689269999507815
64,9,True,2,127,0.19539320000330918
64,10,True,2,127,0.15840659999958007
64,11,True,2,127,0.1583426000070176
64,12,True,2,127,0.16443570000410546
64,13,True,2,127,0.20483840000088094
64,14,True,2,127,0.1551407000006293
64,15,True,2,127,0.13244790000317153
64,16,True,2,127,0.08392179999646032
64,17,True,2,127,0.08305099999415688
64,18,True,2,127,0.08624049999343697
64,19,True,2,127,0.09041109999816399
64,20,True,2,127,0.08962890000111656
128,1,True,2,255,0.17210099999647355
128,2,True,2,255,0.17649059999530436
128,3,True,2,255,0.167155900002399
128,4,True,2,255,0.23377140000229701
128,5,True,2,255,0.22135459999844898
128,6,True,2,255,0.17993859999842243
128,7,True,2,255,0.18415660000027856
128,8,True,2,255,0.1795159000030253
128,9,True,2,255,0.17002340000180993
128,10,True,2,255,0.15846240000246326
128,11,True,2,255,0.1639560000039637
128,12,True,2,255,0.3342491000003065
128,13,True,2,255,0.34072359999845503
128,14,True,2,255,0.34817069999553496
128,15,True,2,255,0.3414435000013327
128,16,True,2,255,0.3386074000009103
128,17,True,2,255,0.32866659999854164
128,18,True,2,255,0.28358440000010887
128,19,True,2,255,0.33702249999623746
128,20,True,2,255,0.2970975999996881
256,1,True,2,511,0.6289293000008911
256,2,True,2,511,0.6614718999990146
256,3,True,2,511,0.6406681000007666
256,4,True,2,511,0.6486366999961319
256,5,True,2,511,0.57426580000174
256,6,True,2,511,0.6401201000044239
256,7,True,2,511,0.669810100000177
256,8,True,2,511,0.6686588000011398
256,9,True,2,511,0.662275700000464
256,10,True,2,511,0.6456641999975545
256,11,True,2,511,0.6613987000018824
256,12,True,2,511,0.7117463000031421
256,13,True,2,511,0.6617632999987109
256,14,True,2,511,0.6601452999966568
256,15,True,2,511,0.6267219000001205
256,16,True,2,511,0.659620400001586
256,17,True,2,511,0.6553270000003977
256,18,True,2,511,0.6722082000051159
256,19,True,2,511,0.6085617999997339
256,20,True,2,511,0.6483875999983866
512,1,True,2,1023,1.350965500001621
512,2,True,2,1023,1.1104699999996228
512,3,True,2,1023,0.6843346000023303
512,4,True,2,1023,0.694804099999601
512,5,True,2,1023,0.8125474000044051
512,6,True,2,1023,1.43607129999873
512,7,True,2,1023,1.3893123000016203
512,8,True,2,1023,1.3373154000000795
512,9,True,2,1023,1.3967520000005607
512,10,True,2,1023,1.3948571000000811
512,11,True,2,1023,1.386657800001558
512,12,True,2,1023,1.3520352999985334
512,13,True,2,1023,1.3225698999958695
512,14,True,2,1023,1.2755653999993228
512,15,True,2,1023,1.2193946999977925
512,16,True,2,1023,1.2643481999984942
512,17,True,2,1023,1.292338799998106
512,18,True,2,1023,1.259063800003787
512,19,True,2,1023,1.2669968999980483
512,20,True,2,1023,1.365290499998082
1024,1,True,2,2047,2.7059575999955996
1024,2,True,2,2047,2.757832300005248
1024,3,True,2,2047,2.722201299999142
1024,4,True,2,2047,2.7016561000054935
1024,5,True,2,2047,2.5881568000040716
1024,6,True,2,2047,2.5714125000013155
1024,7,True,2,2047,1.800862700001744
1024,8,True,2,2047,1.7890995999987354
1024,9,True,2,2047,2.8144639000020106
1024,10,True,2,2047,2.7518872000000556
1024,11,True,2,2047,2.5569390000018757
1024,12,True,2,2047,2.603841199997987
1024,13,True,2,2047,2.4554142999986652
1024,14,True,2,2047,2.762630299999728
1024,15,True,2,2047,2.384872299997369
1024,16,True,2,2047,0.6956203000008827
1024,17,True,2,2047,0.6595307000025059
1024,18,True,2,2047,1.0567491999972844
1024,19,True,2,2047,1.0298516000038944
1024,20,True,2,2047,1.117754299993976
