scenario,true_ratio,q00,q01,q05,q25,q50,q75,q95,q99,q100
complete_below_floor,2.0,1.0637173724376054,1.3521723206212026,1.523743560816969,1.798133316518717,2.000702737626551,2.201468345926716,2.477076769972344,2.6491617333038358,2.9411779513746295
complete_at_threshold,3.0,2.0527609878454047,2.3501554728969065,2.5223923088416758,2.7977046878629035,3.0011606790457668,3.203468096205538,3.480435632086089,3.6514254142913654,3.9556332805796597
complete_above_floor,5.0,4.033234764111679,4.353596674339146,4.524054908522371,4.799084054548424,5.0006417600592385,5.2031715967099235,5.4754250636701824,5.646331879277629,5.963789777353377
