kind,left,right,baseline_state,minimum_cost,witness_mask
point,0.09938895057894019,0.09938895057894019,above,0.7142857142857143,117
open_interval,0.09938895057894019,0.09938910044784013,above,0.7142857142857143,117
point,0.09938910044784013,0.09938910044784013,above,0.5714285714285714,101
point,0.09938910044784015,0.09938910044784015,above,0.5714285714285714,101
open_interval,0.09938910044784015,0.09938931479197118,above,0.5714285714285714,101
point,0.09938931479197118,0.09938931479197118,above,0.5714285714285714,53
point,0.09938931479197119,0.09938931479197119,above,0.42857142857142855,21
open_interval,0.09938931479197119,0.09938937183000555,above,0.42857142857142855,21
point,0.09938937183000555,0.09938937183000555,above,0.42857142857142855,21
open_interval,0.09938937183000555,0.09938946466087112,above,0.42857142857142855,21
point,0.09938946466087112,0.09938946466087112,above,0.42857142857142855,21
point,0.09938946466087113,0.09938946466087113,above,0.42857142857142855,21
open_interval,0.09938946466087113,0.09938951449464707,above,0.42857142857142855,21
point,0.09938951449464707,0.09938951449464707,above,0.2857142857142857,5
open_interval,0.09938951449464707,0.0993898704016042,above,0.2857142857142857,5
point,0.0993898704016042,0.0993898704016042,above,0.2857142857142857,5
open_interval,0.0993898704016042,0.09939002027050416,above,0.2857142857142857,5
point,0.09939002027050416,0.09939002027050416,above,0.2857142857142857,5
open_interval,0.09939002027050416,0.09939023461463518,above,0.2857142857142857,5
point,0.09939023461463518,0.09939023461463518,above,0.2857142857142857,5
point,0.0993902346146352,0.0993902346146352,above,0.2857142857142857,5
open_interval,0.0993902346146352,0.09939029165266956,above,0.2857142857142857,5
point,0.09939029165266956,0.09939029165266956,above,0.2857142857142857,5
open_interval,0.09939029165266956,0.09939038448353514,above,0.2857142857142857,5
point,0.09939038448353514,0.09939038448353514,above,0.2857142857142857,5
open_interval,0.09939038448353514,0.09939043431731108,above,0.2857142857142857,5
point,0.09939043431731108,0.09939043431731108,above,0.2857142857142857,5
open_interval,0.09939043431731108,0.09939086674614098,above,0.2857142857142857,5
point,0.09939086674614098,0.09939086674614098,above,0.2857142857142857,5
point,0.09939086674614099,0.09939086674614099,above,0.2857142857142857,5
open_interval,0.09939086674614099,0.09939123095917196,above,0.2857142857142857,5
point,0.09939123095917196,0.09939123095917196,above,0.2857142857142857,5
point,0.09939123095917198,0.09939123095917198,above,0.14285714285714285,1
open_interval,0.09939123095917198,0.09939573915621451,above,0.14285714285714285,1
point,0.09939573915621451,0.09939573915621451,above,0.14285714285714285,1
open_interval,0.09939573915621451,0.09939588902511445,above,0.14285714285714285,1
point,0.09939588902511445,0.09939588902511445,above,0.14285714285714285,1
point,0.09939588902511447,0.09939588902511447,above,0.14285714285714285,1
open_interval,0.09939588902511447,0.0993961033692455,above,0.14285714285714285,1
point,0.0993961033692455,0.0993961033692455,above,0.14285714285714285,1
point,0.09939610336924551,0.09939610336924551,above,0.14285714285714285,1
open_interval,0.09939610336924551,0.09939616040727987,above,0.14285714285714285,1
point,0.09939616040727987,0.09939616040727987,above,0.14285714285714285,1
open_interval,0.09939616040727987,0.09939625323814544,above,0.14285714285714285,1
point,0.09939625323814544,0.09939625323814544,above,0.14285714285714285,1
point,0.09939625323814545,0.09939625323814545,above,0.14285714285714285,1
open_interval,0.09939625323814545,0.09939630307192139,above,0.14285714285714285,1
point,0.09939630307192139,0.09939630307192139,above,0.14285714285714285,1
open_interval,0.09939630307192139,0.09939665897887852,above,0.14285714285714285,1
point,0.09939665897887852,0.09939665897887852,above,0.14285714285714285,1
open_interval,0.09939665897887852,0.09939680884777848,above,0.14285714285714285,1
point,0.09939680884777848,0.09939680884777848,above,0.14285714285714285,1
open_interval,0.09939680884777848,0.0993970231919095,above,0.14285714285714285,1
point,0.0993970231919095,0.0993970231919095,above,0.14285714285714285,1
point,0.09939702319190952,0.09939702319190952,above,0.14285714285714285,1
open_interval,0.09939702319190952,0.09939708022994388,above,0.14285714285714285,1
point,0.09939708022994388,0.09939708022994388,above,0.14285714285714285,1
open_interval,0.09939708022994388,0.09939717306080946,above,0.14285714285714285,1
point,0.09939717306080946,0.09939717306080946,above,0.14285714285714285,1
open_interval,0.09939717306080946,0.0993972228945854,above,0.14285714285714285,1
point,0.0993972228945854,0.0993972228945854,above,0.14285714285714285,1
open_interval,0.0993972228945854,0.0993976553234153,above,0.14285714285714285,1
point,0.0993976553234153,0.0993976553234153,above,0.14285714285714285,1
point,0.09939765532341531,0.09939765532341531,above,0.14285714285714285,1
open_interval,0.09939765532341531,0.09939795175674353,above,0.14285714285714285,1
point,0.09939795175674353,0.09939795175674353,above,0.14285714285714285,1
open_interval,0.09939795175674353,0.09939801953644628,above,0.14285714285714285,1
point,0.09939801953644628,0.09939801953644628,above,0.14285714285714285,1
point,0.0993980195364463,0.0993980195364463,above,0.14285714285714285,1
open_interval,0.0993980195364463,0.09939810162564347,above,0.14285714285714285,1
