n,residual,elapsed_s,l2_error,minimum_conductivity,maximum_conductivity,pathway,sample,level
8,1.7016567431142538e-15,0.0008868000004440546,,1.018035801870588,1.7342614763192201,0,0,0
12,4.017267350463604e-15,0.0006480000010924414,,0.9981593436935727,1.7493337602442507,0,0,1
16,7.378772273831888e-15,0.000734499997633975,,0.9902147980993924,1.754663773984262,0,0,2
24,1.747978549328034e-14,0.0011892000002262648,,0.9836419221021689,1.7584883917722602,0,0,3
32,3.155903100993539e-14,0.0018001999997068197,,0.9778066558117045,1.759830454505878,0,0,4
40,5.107480149272959e-14,0.0027950999974564184,,0.9738036375599476,1.7604522436157182,0,0,5
48,7.46976257807857e-14,0.0036867999988317024,,0.971093799227598,1.7607901663616878,0,0,6
64,1.3352404481953793e-13,0.006239099999220343,,0.9676488769400002,1.7611262813367399,0,0,7
8,1.5942552328933518e-15,0.00044580000030691735,,0.8608375544591682,1.071982398057151,0,1,0
12,3.280980894427949e-15,0.0004773999971803278,,0.8598234970205512,1.0787988195072578,0,1,1
16,5.642327775126509e-15,0.0006072000032872893,,0.8595112037908316,1.081487070914638,0,1,2
24,1.3696457911254656e-14,0.0011274000025878195,,0.8593256668934321,1.0831890260834447,0,1,3
32,2.4413330679677394e-14,0.0018397999992885161,,0.859280763466651,1.0836836817752133,0,1,4
40,4.1707127261476043e-14,0.0027000000009138603,,0.8592693673006286,1.0838705053880133,0,1,5
48,5.566048737771371e-14,0.003585999998904299,,0.8592683255124872,1.0839503171168956,0,1,6
64,9.85663270470254e-14,0.005986300002405187,,0.859274477538832,1.0840795658416043,0,1,7
8,1.3432092807533615e-15,0.0004530000005615875,,0.66004594107176,0.9731273538303062,0,2,0
12,3.2031746098297834e-15,0.0005056999980297405,,0.6590256767790187,0.9914287660261639,0,2,1
16,5.531895810510764e-15,0.0006281000023591332,,0.6588593402972427,1.0006529858430044,0,2,2
24,1.2058967144905875e-14,0.001148700001067482,,0.6580820875581916,1.0103475724704396,0,2,3
32,2.1909448445857232e-14,0.0017846999980974942,,0.6581811014469119,1.0153747911487634,0,2,4
40,3.5531067887593144e-14,0.0029220999967947137,,0.658077224831229,1.0183324319036935,0,2,5
48,5.386802482145571e-14,0.003621500000008382,,0.6580847193587737,1.0202821917676306,0,2,6
64,9.551104884603314e-14,0.006017499999870779,,0.6580015139796372,1.0226973907945682,0,2,7
8,1.629857408576994e-15,0.0004563999973470345,,0.9531912300952827,1.3064916156647481,0,3,0
12,4.272876488414488e-15,0.0005043999990448356,,0.9393459642725062,1.309586384226499,0,3,1
16,6.894499089757313e-15,0.0006208000013430137,,0.933112192456772,1.3108148995363529,0,3,2
24,1.8114179786082095e-14,0.0011231999997107778,,0.9278823297341952,1.3130319533567116,0,3,3
32,2.945645153909898e-14,0.00181959999827086,,0.9255286330628879,1.313375967328187,0,3,4
40,4.3433368971910446e-14,0.003218199999537319,,0.9241976347654633,1.3132012089745417,0,3,5
48,6.658316489675206e-14,0.0036817999971390236,,0.9231430045457593,1.3135247756221002,0,3,6
64,1.2061399214588271e-13,0.0059706999963964336,,0.9218426016497131,1.3134712931473282,0,3,7
8,2.2183634043813167e-15,0.0004447999999683816,,0.8606543278530953,1.4382683163337608,0,4,0
12,4.971270767759187e-15,0.0005068000027677044,,0.842129635184648,1.4574275682985844,0,4,1
16,7.441112071686111e-15,0.0006114999996498227,,0.8344821478049064,1.4642579387837455,0,4,2
24,1.7055961811453225e-14,0.001125400001910748,,0.8274861869558363,1.4691767952222128,0,4,3
32,3.183612238993643e-14,0.001932300001499243,,0.8244210062438226,1.4709063125881265,0,4,4
