cuts_budget,budget,maximum_common_partition_width,witness_mask,lowest_endpoint,highest_endpoint
0,0.0,0.0005090947899605014,0,0.09940406143324101,0.09991315622320152
1,0.14285714285714285,0.0005219252640295408,1,0.09939123095917198,0.09991315622320153
2,0.2857142857142857,0.0005236417285544442,5,0.09938951449464707,0.09991364405681215
3,0.42857142857142855,0.0005238414312303263,21,0.09938931479197119,0.09991364405681216
4,0.5714285714285714,0.000524543608972014,101,0.09938910044784013,0.09991364405681216
5,0.7142857142857143,0.000524693477871957,117,0.09938895057894019,0.09991364405681216
6,0.8571428571428571,0.000524693477871957,117,0.09938895057894019,0.09991364405681216
7,1.0,0.000524693477871957,117,0.09938895057894019,0.09991364405681216
