case_id,support,relaxation_budget,admissible_members,minimum_signal,euclidean_finite_set_diameter,signal_to_diameter_ratio,attains_independent_minimum_signal,attains_independent_diameter
alph05-10071-2024,fine_F100,0.0,4,0.005803502967438074,0.002541864613862918,2.2831676147449826,False,False
alph05-10071-2024,fine_F100,2.0,76,0.0058035029460979356,0.039943465479975244,0.1452929252973153,True,False
alph05-10071-2024,fine_F100,3.0,172,0.0058035029460979356,0.039943465479975244,0.1452929252973153,True,False
alph05-10071-2024,fine_F100,4.0,256,0.0058035029460979356,0.039943465494709535,0.14529292524371984,True,True
alph05-10071-2024,shared_F000,0.0,4,0.005774212264659168,0.0015368250049551681,3.7572347183585886,False,False
alph05-10071-2024,shared_F000,2.0,76,0.00577421207543766,0.02178978260538218,0.26499631409867314,True,False
alph05-10071-2024,shared_F000,3.0,172,0.00577421207543766,0.02178978260538218,0.26499631409867314,True,False
alph05-10071-2024,shared_F000,4.0,256,0.00577421207543766,0.021789782632838525,0.26499631376476296,True,True
alph15-10929-3036,fine_F100,0.0,4,0.0065926128791001055,0.001008886806863519,6.534541669343037,False,False
alph15-10929-3036,fine_F100,2.0,76,0.006592612701933957,0.010924370727786391,0.6034775701236038,True,False
alph15-10929-3036,fine_F100,3.0,172,0.006592612701933957,0.010924370727786391,0.6034775701236038,True,False
alph15-10929-3036,fine_F100,4.0,256,0.006592612701933957,0.010924370848892827,0.6034775634335144,True,True
alph15-10929-3036,shared_F000,0.0,4,0.006573077584136554,0.0002804795263991578,23.435142195663275,True,False
alph15-10929-3036,shared_F000,2.0,76,0.006573077584136554,0.0039975910646890146,1.6442596248017918,True,True
alph15-10929-3036,shared_F000,3.0,172,0.006573077584136554,0.0039975910646890146,1.6442596248017918,True,True
alph15-10929-3036,shared_F000,4.0,256,0.006573077584136554,0.0039975910646890146,1.6442596248017918,True,True
alph15-13929-2024,fine_F100,0.0,4,0.0062830083842117055,0.0016868797410758082,3.7246332570244247,False,False
alph15-13929-2024,fine_F100,2.0,76,0.0062830082324742825,0.023336763524458043,0.2692322020527564,True,True
alph15-13929-2024,fine_F100,3.0,172,0.0062830082324742825,0.023336763524458043,0.2692322020527564,True,True
alph15-13929-2024,fine_F100,4.0,256,0.0062830082324742825,0.023336763524458043,0.2692322020527564,True,True
alph15-13929-2024,shared_F000,0.0,4,0.0062340988347173,0.0008596383912491695,7.252001420804765,True,False
alph15-13929-2024,shared_F000,2.0,76,0.0062340988347173,0.011791930287449386,0.5286750076323379,True,True
alph15-13929-2024,shared_F000,3.0,172,0.0062340988347173,0.011791930287449386,0.5286750076323379,True,True
alph15-13929-2024,shared_F000,4.0,256,0.0062340988347173,0.011791930287449386,0.5286750076323379,True,True
alph15-7929-2024,fine_F100,0.0,4,0.008926264601940908,0.0017910862329488298,4.983715712696188,False,False
alph15-7929-2024,fine_F100,2.0,76,0.00892626456010049,0.021969834910426565,0.40629638759207126,True,False
alph15-7929-2024,fine_F100,3.0,172,0.00892626456010049,0.021969834910426565,0.40629638759207126,True,False
alph15-7929-2024,fine_F100,4.0,256,0.00892626456010049,0.02196983493488067,0.40629638713983235,True,True
alph15-7929-2024,shared_F000,0.0,4,0.008895896628679095,0.0009796901807383393,9.080316209737594,False,False
alph15-7929-2024,shared_F000,2.0,76,0.008895896176792987,0.012853025314532337,0.6921246911989505,True,True
alph15-7929-2024,shared_F000,3.0,172,0.008895896176792987,0.012853025314532337,0.6921246911989505,True,True
alph15-7929-2024,shared_F000,4.0,256,0.008895896176792987,0.012853025314532337,0.6921246911989505,True,True
