condition,K_medium_kEpsilon,K_fine_kEpsilon,K_medium_kOmegaSST,K_fine_kOmegaSST,mesh_shift_kEpsilon,mesh_shift_kOmegaSST,closure_shift_medium,closure_shift_fine,mesh_by_closure_contrast,absolute_contrast,contrast_relative_to_four_cell_mean_abs_pct,gate1_estimable,gate2_status,maximum_reported_sst_mass_imbalance_pct
normal,0.259045034,0.26227386,0.25617538933084244,0.2579711814,0.003228826000000018,0.0017957920691575868,-0.0028696446691575672,-0.004302678599999998,-0.0014330339308424311,0.0014330339308424311,0.5535805798081086,True,not assessed: no independent contrast-level K error bound,2.5537669542643112e-08
severe_inlet,1.383424556,1.270820748,1.4669284153492386,1.361804867,-0.11260380800000003,-0.10512354834923854,0.08350385934923854,0.09098411900000003,0.007480259650761489,0.007480259650761489,0.5457077413641414,True,not assessed: no independent contrast-level K error bound,3.830650431396467e-08
severe_outlet,0.438381618,0.411735464,0.44315013342634046,0.4146968076,-0.026646153999999977,-0.02845332582634047,0.004768515426340492,0.0029613435999999993,-0.0018071718263404923,0.0018071718263404923,0.4232341669910273,True,not assessed: no independent contrast-level K error bound,1.532259508046949e-07
