case_id,support,R_zero_cost,R_balanced_cost_0p5,R_independent_endpoint,D_zero_cost,D_balanced_cost_0p5,D_independent_endpoint,relative_D_gap_at_0p5,exact_independent_D_cost,D_cost_at_relative_tolerance_1e-7,D_witness_partition_at_0p5,R_witness_partition_at_0p5
alph05-10071-2024,fine_F100,2.2831676147449826,0.14529292583157388,0.14529292524371984,0.002541864613862918,0.039943465479975244,0.039943465494709535,3.6887861366948206e-10,1.0,0.5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]"
alph05-10071-2024,shared_F000,3.7572347183585886,0.26499632278262886,0.26499631376476296,0.0015368250049551681,0.02178978260538218,0.021789782632838525,1.2600559944542719e-09,1.0,0.5,"[[0, 2, 3], [1]]","[[0, 2, 3], [1]]"
alph15-10929-3036,fine_F100,6.534541669343037,0.603477586341119,0.6034775634335144,0.001008886806863519,0.010924370727786391,0.010924370848892827,1.1085895683965614e-08,1.0,0.5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]"
alph15-10929-3036,shared_F000,23.435142195663275,1.6442596248017918,1.6442596248017918,0.0002804795263991578,0.0039975910646890146,0.0039975910646890146,0.0,0.5,0.5,"[[0, 1, 2], [3]]","[[0, 1, 2], [3]]"
alph15-13929-2024,fine_F100,3.7246332570244247,0.26923220855483293,0.2692322020527564,0.0016868797410758082,0.023336763524458043,0.023336763524458043,0.0,0.5,0.5,"[[0, 1], [2, 3]]","[[0, 1], [2, 3]]"
alph15-13929-2024,shared_F000,7.252001420804765,0.5286750076323379,0.5286750076323379,0.0008596383912491695,0.011791930287449386,0.011791930287449386,0.0,0.5,0.5,"[[0, 2, 3], [1]]","[[0, 2, 3], [1]]"
alph15-7929-2024,fine_F100,4.983715712696188,0.40629638949651975,0.40629638713983235,0.0017910862329488298,0.021969834910426565,0.02196983493488067,1.113076428647911e-09,1.0,0.5,"[[0], [1, 2, 3]]","[[0], [1, 2, 3]]"
alph15-7929-2024,shared_F000,9.080316209737594,0.6921247263569072,0.6921246911989505,0.0009796901807383393,0.012853025314532337,0.012853025314532337,0.0,0.5,0.5,"[[0, 2, 3], [1]]","[[0, 2, 3], [1]]"
